ID,ID,Genero,Anio
862,Toy Story,Animation,1995
8844,Jumanji,Adventure,1995
15602,Grumpier Old Men,Romance,1995
31357,Waiting to Exhale,Comedy,1995
11862,Father of the Bride Part II,Comedy,1995
949,Heat,Action,1995
11860,Sabrina,Comedy,1995
45325,Tom and Huck,Action,1995
9091,Sudden Death,Action,1995
710,GoldenEye,Adventure,1995
9087,The American President,Comedy,1995
12110,Dracula: Dead and Loving It,Comedy,1995
21032,Balto,Family,1995
10858,Nixon,History,1995
1408,Cutthroat Island,Action,1995
524,Casino,Drama,1995
4584,Sense and Sensibility,Drama,1995
5,Four Rooms,Crime,1995
9273,Ace Ventura: When Nature Calls,Crime,1995
11517,Money Train,Action,1995
8012,Get Shorty,Comedy,1995
1710,Copycat,Drama,1995
9691,Assassins,Action,1995
12665,Powder,Drama,1995
451,Leaving Las Vegas,Drama,1995
16420,Othello,Drama,1995
9263,Now and Then,Comedy,1995
17015,Persuasion,Drama,1995
902,The City of Lost Children,Fantasy,1995
37557,Shanghai Triad,Drama,1995
9909,Dangerous Minds,Drama,1995
63,Twelve Monkeys,Science Fiction,1995
78802,Wings of Courage,Romance,1996
9598,Babe,Fantasy,1995
47018,Carrington,History,1995
687,Dead Man Walking,Drama,1995
139405,Across the Sea of Time,Adventure,1995
33689,It Takes Two,Comedy,1995
9603,Clueless,Comedy,1995
34615,"Cry, the Beloved Country",Drama,1995
31174,Richard III,Drama,1995
11443,Dead Presidents,Action,1995
35196,Restoration,Drama,1995
9312,Mortal Kombat,Action,1995
577,To Die For,Fantasy,1995
11861,How To Make An American Quilt,Drama,1995
807,Se7en,Crime,1995
10530,Pocahontas,Adventure,1995
8391,When Night Is Falling,Drama,1995
629,The Usual Suspects,Drama,1995
117164,Guardian Angel,Action,1994
11448,Mighty Aphrodite,Comedy,1995
49133,Lamerica,Drama,1994
26441,The Big Green,Action,1995
97406,Georgia,Drama,1995
124057,Kids of the Round Table,Desconocido,1997
9089,Home for the Holidays,Comedy,1995
11010,The Postman,Comedy,1994
99040,The Confessional,Thriller,1995
11359,The Indian in the Cupboard,Adventure,1995
17182,Eye for an Eye,Drama,1996
2054,Mr. Holland's Opus,Music,1995
10607,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,Comedy,1996
19760,Two If by Sea,Comedy,1996
9536,Bio-Dome,Comedy,1996
11525,Lawnmower Man 2: Beyond Cyberspace,Action,1996
40628,Two Bits,Drama,1995
4482,French Twist,Comedy,1995
10634,Friday,Comedy,1995
755,From Dusk Till Dawn,Horror,1996
11859,Fair Game,Action,1995
28387,Kicking and Screaming,Comedy,1995
48750,Les Miserables,Drama,1995
20927,Bed of Roses,Drama,1996
36929,Big Bully,Comedy,1996
9102,Screamers,Horror,1995
124626,Nico Icon,Documentary,1995
27526,The Crossing Guard,Drama,1995
9623,The Juror,Drama,1996
46785,The White Balloon,Family,1995
400,Things to Do in Denver When You're Dead,Drama,1995
880,Antonia's Line,Drama,1995
146599,Once Upon a Time... When We Were Colored,Romance,1996
188588,Last Summer in the Hamptons,Desconocido,1995
8447,Angels and Insects,Drama,1995
